Run,Dataset,Label_Ratio,GMean
20,Ozone,0.05,0.476337205
20,Ozone,0.1,0.412111128
20,Ozone,0.2,0.483722719
20,Ozone,0.5,0.521537607
20,Ozone,1,0.474968935
21,INSECTS incremental_imbalanced,0.05,0.246452142
21,INSECTS incremental_imbalanced,0.1,0.255011261
21,INSECTS incremental_imbalanced,0.2,0.202891199
21,INSECTS incremental_imbalanced,0.5,0.140975782
21,INSECTS incremental_imbalanced,1,0.397326651
21,INSECTS incremental-abrupt_imbalanced,0.05,0.255356554
21,INSECTS incremental-abrupt_imbalanced,0.1,0.251056904
21,INSECTS incremental-abrupt_imbalanced,0.2,0.245814772
21,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
21,INSECTS incremental-abrupt_imbalanced,1,0.388659324
21,Keystroke,0.05,0.518591906
21,Keystroke,0.1,0.677857726
21,Keystroke,0.2,0.808101158
21,Keystroke,0.5,0.684794435
21,Keystroke,1,0.940603409
21,NOAA,0.05,0.527224883
21,NOAA,0.1,0.563756652
21,NOAA,0.2,0.564626106
21,NOAA,0.5,0.664807861
21,NOAA,1,0.673206388
21,Ozone,0.05,0.328552705
21,Ozone,0.1,0.544095336
21,Ozone,0.2,0.526925722
21,Ozone,0.5,0.521537607
21,Ozone,1,0.474968935
22,INSECTS incremental_imbalanced,0.05,0.247127461
22,INSECTS incremental_imbalanced,0.1,0.233883403
22,INSECTS incremental_imbalanced,0.2,0.201822281
22,INSECTS incremental_imbalanced,0.5,0.140975782
22,INSECTS incremental_imbalanced,1,0.397326651
22,INSECTS incremental-abrupt_imbalanced,0.05,0.245969896
22,INSECTS incremental-abrupt_imbalanced,0.1,0.253502868
22,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
22,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
22,INSECTS incremental-abrupt_imbalanced,1,0.388659324
22,Keystroke,0.05,0.561292712
22,Keystroke,0.1,0.660722537
22,Keystroke,0.2,0.759429881
22,Keystroke,0.5,0.684794435
22,Keystroke,1,0.940603409
22,NOAA,0.05,0.54276091
22,NOAA,0.1,0.566683737
22,NOAA,0.2,0.574929936
22,NOAA,0.5,0.664807861
22,NOAA,1,0.673206388
22,Ozone,0.05,0.398216804
22,Ozone,0.1,0.544095336
22,Ozone,0.2,0.483722719
22,Ozone,0.5,0.521537607
22,Ozone,1,0.474968935
23,INSECTS incremental_imbalanced,0.05,0.256502765
23,INSECTS incremental_imbalanced,0.1,0.253359944
23,INSECTS incremental_imbalanced,0.2,0.201822281
23,INSECTS incremental_imbalanced,0.5,0.140975782
23,INSECTS incremental_imbalanced,1,0.397326651
23,INSECTS incremental-abrupt_imbalanced,0.05,0.263494076
23,INSECTS incremental-abrupt_imbalanced,0.1,0.256377587
23,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247
23,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
23,INSECTS incremental-abrupt_imbalanced,1,0.388659324
23,Keystroke,0.05,0.551070136
23,Keystroke,0.1,0.703439806
23,Keystroke,0.2,0.74264432
23,Keystroke,0.5,0.684794435
23,Keystroke,1,0.940603409
23,NOAA,0.05,0.527224883
23,NOAA,0.1,0.563756652
23,NOAA,0.2,0.576886398
23,NOAA,0.5,0.65697857
23,NOAA,1,0.673206388
23,Ozone,0.05,0.386896732
23,Ozone,0.1,0.500547761
23,Ozone,0.2,0.530672797
23,Ozone,0.5,0.521537607
23,Ozone,1,0.474968935
24,INSECTS incremental_imbalanced,0.05,0.23777554
24,INSECTS incremental_imbalanced,0.1,0.251153796
24,INSECTS incremental_imbalanced,0.2,0.202891199
24,INSECTS incremental_imbalanced,0.5,0.140975782
24,INSECTS incremental_imbalanced,1,0.397326651
24,INSECTS incremental-abrupt_imbalanced,0.05,0.258644941
24,INSECTS incremental-abrupt_imbalanced,0.1,0.256377587
24,INSECTS incremental-abrupt_imbalanced,0.2,0.245814772
24,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
24,INSECTS incremental-abrupt_imbalanced,1,0.388659324
24,Keystroke,0.05,0.618715253
24,Keystroke,0.1,0.67448349
24,Keystroke,0.2,0.759429881
24,Keystroke,0.5,0.684794435
24,Keystroke,1,0.940603409
24,NOAA,0.05,0.530335555
24,NOAA,0.1,0.563756652
24,NOAA,0.2,0.576886398
24,NOAA,0.5,0.65697857
24,NOAA,1,0.673206388
24,Ozone,0.05,0.476337205
24,Ozone,0.1,0.430694173
24,Ozone,0.2,0.526925722
24,Ozone,0.5,0.485630903
24,Ozone,1,0.474968935
25,INSECTS incremental_imbalanced,0.05,0.258429644
25,INSECTS incremental_imbalanced,0.1,0.254325286
25,INSECTS incremental_imbalanced,0.2,0.202891199
25,INSECTS incremental_imbalanced,0.5,0.140975782
25,INSECTS incremental_imbalanced,1,0.397326651
25,INSECTS incremental-abrupt_imbalanced,0.05,0.238917833
25,INSECTS incremental-abrupt_imbalanced,0.1,0.261829691
25,INSECTS incremental-abrupt_imbalanced,0.2,0.245814772
25,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753
