Run,Dataset,Label_Ratio,GMean
21,Keystroke,0.5,0.915021386
21,Keystroke,1,0.940603409
21,NOAA,0.05,0.546885452
21,NOAA,0.1,0.559411775
21,NOAA,0.2,0.617622468
21,NOAA,0.5,0.670082238
21,NOAA,1,0.673206388
21,Ozone,0.05,0.401777249
21,Ozone,0.1,0.468146393
21,Ozone,0.2,0.501100181
21,Ozone,0.5,0.566940734
21,Ozone,1,0.474968935
22,INSECTS incremental_imbalanced,0.05,0.255972465
22,INSECTS incremental_imbalanced,0.1,0.256024003
22,INSECTS incremental_imbalanced,0.2,0.277714464
22,INSECTS incremental_imbalanced,0.5,0.352669459
22,INSECTS incremental_imbalanced,1,0.397326651
22,INSECTS incremental-abrupt_imbalanced,0.05,0.255806017
22,INSECTS incremental-abrupt_imbalanced,0.1,0.25002658
22,INSECTS incremental-abrupt_imbalanced,0.2,0.272041658
22,INSECTS incremental-abrupt_imbalanced,0.5,0.348499298
22,INSECTS incremental-abrupt_imbalanced,1,0.388659324
22,Keystroke,0.05,0.586094538
22,Keystroke,0.1,0.635535938
22,Keystroke,0.2,0.76382385
22,Keystroke,0.5,0.900098924
22,Keystroke,1,0.940603409
22,NOAA,0.05,0.537162297
22,NOAA,0.1,0.573783751
22,NOAA,0.2,0.616565683
22,NOAA,0.5,0.662186199
22,NOAA,1,0.673206388
22,Ozone,0.05,0.424681212
22,Ozone,0.1,0.447867111
22,Ozone,0.2,0.49855398
22,Ozone,0.5,0.491924671
22,Ozone,1,0.474968935
23,INSECTS incremental_imbalanced,0.05,0.255298247
23,INSECTS incremental_imbalanced,0.1,0.245729672
23,INSECTS incremental_imbalanced,0.2,0.279134555
23,INSECTS incremental_imbalanced,0.5,0.352079358
23,INSECTS incremental_imbalanced,1,0.397326651
23,INSECTS incremental-abrupt_imbalanced,0.05,0.248990013
23,INSECTS incremental-abrupt_imbalanced,0.1,0.260342649
23,INSECTS incremental-abrupt_imbalanced,0.2,0.274009862
23,INSECTS incremental-abrupt_imbalanced,0.5,0.344570313
23,INSECTS incremental-abrupt_imbalanced,1,0.388659324
23,Keystroke,0.05,0.588059941
23,Keystroke,0.1,0.688139375
23,Keystroke,0.2,0.79186311
23,Keystroke,0.5,0.918158234
23,Keystroke,1,0.940603409
23,NOAA,0.05,0.540917668
23,NOAA,0.1,0.571065121
23,NOAA,0.2,0.635637641
23,NOAA,0.5,0.660516271
23,NOAA,1,0.673206388
23,Ozone,0.05,0.329753472
23,Ozone,0.1,0.438067267
23,Ozone,0.2,0.488052882
23,Ozone,0.5,0.520855115
23,Ozone,1,0.474968935
24,INSECTS incremental_imbalanced,0.05,0.259323844
24,INSECTS incremental_imbalanced,0.1,0.258205043
24,INSECTS incremental_imbalanced,0.2,0.282580867
24,INSECTS incremental_imbalanced,0.5,0.343085918
24,INSECTS incremental_imbalanced,1,0.397326651
24,INSECTS incremental-abrupt_imbalanced,0.05,0.253412516
24,INSECTS incremental-abrupt_imbalanced,0.1,0.24960339
24,INSECTS incremental-abrupt_imbalanced,0.2,0.271257283
24,INSECTS incremental-abrupt_imbalanced,0.5,0.340536233
24,INSECTS incremental-abrupt_imbalanced,1,0.388659324
24,Keystroke,0.05,0.604863984
24,Keystroke,0.1,0.630377539
24,Keystroke,0.2,0.827994861
24,Keystroke,0.5,0.927491605
24,Keystroke,1,0.940603409
24,NOAA,0.05,0.538226699
24,NOAA,0.1,0.582634371
24,NOAA,0.2,0.614831819
24,NOAA,0.5,0.65297629
24,NOAA,1,0.673206388
24,Ozone,0.05,0.328841289
24,Ozone,0.1,0.445838685
24,Ozone,0.2,0.494115883
24,Ozone,0.5,0.59998419
24,Ozone,1,0.474968935
25,INSECTS incremental_imbalanced,0.05,0.253797357
25,INSECTS incremental_imbalanced,0.1,0.257636968
25,INSECTS incremental_imbalanced,0.2,0.263594125
25,INSECTS incremental_imbalanced,0.5,0.350086086
25,INSECTS incremental_imbalanced,1,0.397326651
25,INSECTS incremental-abrupt_imbalanced,0.05,0.260410157
25,INSECTS incremental-abrupt_imbalanced,0.1,0.252758129
25,INSECTS incremental-abrupt_imbalanced,0.2,0.263044433
25,INSECTS incremental-abrupt_imbalanced,0.5,0.348407109
