Run,Dataset,Label_Ratio,GMean,Labeling Strategy
7,Ozone,0.5,0.495316918,Non_Uniform
7,Ozone,1,0.474968935,Uniform
7,Ozone,1,0.474968935,Non_Uniform
8,INSECTS incremental_imbalanced,0.05,0.244001277,Uniform
8,INSECTS incremental_imbalanced,0.05,0.248841589,Non_Uniform
8,INSECTS incremental_imbalanced,0.1,0.233883403,Uniform
8,INSECTS incremental_imbalanced,0.1,0.250865499,Non_Uniform
8,INSECTS incremental_imbalanced,0.2,0.198063957,Uniform
8,INSECTS incremental_imbalanced,0.2,0.27139265,Non_Uniform
8,INSECTS incremental_imbalanced,0.5,0.140975782,Uniform
8,INSECTS incremental_imbalanced,0.5,0.353386544,Non_Uniform
8,INSECTS incremental_imbalanced,1,0.397326651,Uniform
8,INSECTS incremental_imbalanced,1,0.397326651,Non_Uniform
8,INSECTS incremental-abrupt_imbalanced,0.05,0.238917833,Uniform
8,INSECTS incremental-abrupt_imbalanced,0.05,0.253693052,Non_Uniform
8,INSECTS incremental-abrupt_imbalanced,0.1,0.256377587,Uniform
8,INSECTS incremental-abrupt_imbalanced,0.1,0.252956263,Non_Uniform
8,INSECTS incremental-abrupt_imbalanced,0.2,0.244025048,Uniform
8,INSECTS incremental-abrupt_imbalanced,0.2,0.262074709,Non_Uniform
8,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753,Uniform
8,INSECTS incremental-abrupt_imbalanced,0.5,0.34104203,Non_Uniform
8,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Uniform
8,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Non_Uniform
8,Keystroke,0.05,0.497770431,Uniform
8,Keystroke,0.05,0.543876877,Non_Uniform
8,Keystroke,0.1,0.703439806,Uniform
8,Keystroke,0.1,0.670718413,Non_Uniform
8,Keystroke,0.2,0.808101158,Uniform
8,Keystroke,0.2,0.781840013,Non_Uniform
8,Keystroke,0.5,0.684794435,Uniform
8,Keystroke,0.5,0.92117095,Non_Uniform
8,Keystroke,1,0.940603409,Uniform
8,Keystroke,1,0.940603409,Non_Uniform
8,NOAA,0.05,0.525269049,Uniform
8,NOAA,0.05,0.552333757,Non_Uniform
8,NOAA,0.1,0.566683737,Uniform
8,NOAA,0.1,0.574482305,Non_Uniform
8,NOAA,0.2,0.576154674,Uniform
8,NOAA,0.2,0.618447058,Non_Uniform
8,NOAA,0.5,0.664807861,Uniform
8,NOAA,0.5,0.667280663,Non_Uniform
8,NOAA,1,0.673206388,Uniform
8,NOAA,1,0.673206388,Non_Uniform
8,Ozone,0.05,0.398216804,Uniform
8,Ozone,0.05,0.374852416,Non_Uniform
8,Ozone,0.1,0.444960184,Uniform
8,Ozone,0.1,0.399732467,Non_Uniform
8,Ozone,0.2,0.526925722,Uniform
8,Ozone,0.2,0.49888683,Non_Uniform
8,Ozone,0.5,0.521537607,Uniform
8,Ozone,0.5,0.496079699,Non_Uniform
8,Ozone,1,0.474968935,Uniform
8,Ozone,1,0.474968935,Non_Uniform
9,INSECTS incremental_imbalanced,0.05,0.235156016,Uniform
9,INSECTS incremental_imbalanced,0.05,0.249209698,Non_Uniform
9,INSECTS incremental_imbalanced,0.1,0.242432147,Uniform
9,INSECTS incremental_imbalanced,0.1,0.245513636,Non_Uniform
9,INSECTS incremental_imbalanced,0.2,0.201822281,Uniform
9,INSECTS incremental_imbalanced,0.2,0.2628174,Non_Uniform
9,INSECTS incremental_imbalanced,0.5,0.140975782,Uniform
9,INSECTS incremental_imbalanced,0.5,0.353304714,Non_Uniform
9,INSECTS incremental_imbalanced,1,0.397326651,Uniform
9,INSECTS incremental_imbalanced,1,0.397326651,Non_Uniform
9,INSECTS incremental-abrupt_imbalanced,0.05,0.243107428,Uniform
9,INSECTS incremental-abrupt_imbalanced,0.05,0.246779748,Non_Uniform
9,INSECTS incremental-abrupt_imbalanced,0.1,0.256377587,Uniform
9,INSECTS incremental-abrupt_imbalanced,0.1,0.251887415,Non_Uniform
9,INSECTS incremental-abrupt_imbalanced,0.2,0.244025048,Uniform
9,INSECTS incremental-abrupt_imbalanced,0.2,0.270840037,Non_Uniform
9,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753,Uniform
9,INSECTS incremental-abrupt_imbalanced,0.5,0.344653479,Non_Uniform
9,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Uniform
9,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Non_Uniform
9,Keystroke,0.05,0.552038438,Uniform
9,Keystroke,0.05,0.569867077,Non_Uniform
