Run,Dataset,LR_5,LR_10,LR_20,LR_50,LR_100
5,INSECTS incremental_imbalanced,0.252895613,0.251342382,0.264529632,0.346650301,0.397326651
5,Keystroke,0.589997541,0.620890527,0.772366336,0.913705754,0.940603409
5,NOAA,0.544525938,0.574193143,0.622771661,0.667582244,0.673206388
5,Ozone,0.353236511,0.430155468,0.522103146,0.524996989,0.474968935
6,INSECTS incremental-abrupt_imbalanced,0.257426363,0.248427169,0.27392352,0.34272526,0.388659324
6,INSECTS incremental_imbalanced,0.25230274,0.248251697,0.254961198,0.347937391,0.397326651
6,Keystroke,0.563288991,0.648722985,0.758870927,0.928235031,0.940603409
6,NOAA,0.527035728,0.58076393,0.617389563,0.665489682,0.673206388
6,Ozone,0.274389941,0.452857705,0.501320978,0.525689141,0.474968935
7,INSECTS incremental-abrupt_imbalanced,0.239798184,0.256193207,0.279147133,0.353344014,0.388659324
7,INSECTS incremental_imbalanced,0.244621361,0.246273941,0.274685661,0.339862602,0.397326651
7,Keystroke,0.541260967,0.683182373,0.789351392,0.919260594,0.940603409
7,NOAA,0.537127183,0.577075604,0.630285891,0.66742029,0.673206388
7,Ozone,0.430792047,0.505836509,0.436913905,0.495316918,0.474968935
8,INSECTS incremental-abrupt_imbalanced,0.253693052,0.252956263,0.262074709,0.34104203,0.388659324
8,INSECTS incremental_imbalanced,0.248841589,0.250865499,0.27139265,0.353386544,0.397326651
8,Keystroke,0.543876877,0.670718413,0.781840013,0.92117095,0.940603409
8,NOAA,0.552333757,0.574482305,0.618447058,0.667280663,0.673206388
8,Ozone,0.374852416,0.399732467,0.49888683,0.496079699,0.474968935
9,INSECTS incremental-abrupt_imbalanced,0.246779748,0.251887415,0.270840037,0.344653479,0.388659324
9,INSECTS incremental_imbalanced,0.249209698,0.245513636,0.2628174,0.353304714,0.397326651
9,Keystroke,0.569867077,0.609237058,0.789391113,0.918363107,0.940603409
9,NOAA,0.545670153,0.584757526,0.629931717,0.667585473,0.673206388
9,Ozone,0.350642328,0.405069061,0.45303804,0.460954359,0.474968935
10,INSECTS incremental-abrupt_imbalanced,0.249365001,0.266200698,0.277383573,0.345892777,0.388659324
10,INSECTS incremental_imbalanced,0.259229751,0.245981454,0.261899764,0.3487794,0.397326651
10,Keystroke,0.548614283,0.675411035,0.789573803,0.910007043,0.940603409
10,NOAA,0.530071872,0.589291467,0.617074442,0.659853295,0.673206388
10,Ozone,0.446317139,0.409558537,0.547780282,0.473426991,0.474968935
11,INSECTS incremental-abrupt_imbalanced,0.249901536,0.254606006,0.268547959,0.338877129,0.388659324
11,INSECTS incremental_imbalanced,0.248077401,0.247947746,0.269894347,0.359527902,0.397326651
11,Keystroke,0.620299406,0.665703912,0.765812154,0.925149297,0.940603409
11,NOAA,0.544333078,0.578017987,0.627033204,0.663828585,0.673206388
11,Ozone,0.285975963,0.392639515,0.482659357,0.510593408,0.474968935
12,INSECTS incremental-abrupt_imbalanced,0.260638767,0.254467084,0.268136097,0.339041933,0.388659324
12,INSECTS incremental_imbalanced,0.246589543,0.246995482,0.272298545,0.348912467,0.397326651
12,Keystroke,0.571800523,0.692881446,0.781783866,0.914452387,0.940603409
12,NOAA,0.552016382,0.573816131,0.625463337,0.663244416,0.673206388
12,Ozone,0.37527393,0.440935978,0.495659916,0.482233356,0.474968935
13,INSECTS incremental-abrupt_imbalanced,0.254804587,0.248337646,0.274110233,0.347697341,0.388659324
13,INSECTS incremental_imbalanced,0.240469875,0.25964556,0.259698518,0.348709159,0.397326651
13,Keystroke,0.517639783,0.642807496,0.79706344,0.925166242,0.940603409
13,NOAA,0.553217039,0.562205716,0.61347139,0.666329829,0.673206388
13,Ozone,0.387604362,0.413782882,0.50658345,0.501651993,0.474968935
14,INSECTS incremental-abrupt_imbalanced,0.250863706,0.255008244,0.28022644,0.349967472,0.388659324
14,INSECTS incremental_imbalanced,0.246756444,0.247203678,0.27540536,0.345434264,0.397326651
14,Keystroke,0.541249381,0.65756399,0.776649443,0.911721295,0.940603409
14,NOAA,0.531137209,0.579061051,0.620274879,0.666456974,0.673206388
14,Ozone,0.437670107,0.448366907,0.466790804,0.460353766,0.474968935
15,INSECTS incremental-abrupt_imbalanced,0.256300506,0.250391336,0.277518964,0.336935327,0.388659324
15,INSECTS incremental_imbalanced,0.250531706,0.254636777,0.271485192,0.351124392,0.397326651
15,Keystroke,0.644056609,0.655137229,0.795405609,0.925166242,0.940603409
15,NOAA,0.528967895,0.574453039,0.62244167,0.659459807,0.673206388
15,Ozone,0.444151141,0.537755587,0.467628295,0.453433361,0.474968935
16,INSECTS incremental-abrupt_imbalanced,0.250653183,0.252631854,0.27367829,0.342625501,0.388659324
16,INSECTS incremental_imbalanced,0.253309001,0.245991205,0.272204451,0.35122011,0.397326651
