Run,Seed,Model,Dataset,Minority_Class_Orig,Labeling_Strategy,Label_Ratio,H,N,lam,alpha,beta,gamma,Accuracy,GMean
0,12345,OSNN_none_baseline_newton,Ozone,2,uniform,1.0,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9285150078988942,0.47496893481430486
0,12345,OSNN_none_baseline_newton,Ozone,2,nonuniform,1.0,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9285150078988942,0.47496893481430486
1,12346,OSNN_none_baseline_newton,INSECTS incremental_imbalanced,5,uniform,0.05,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9469274978873644,0.24400127652876116
1,12346,OSNN_none_baseline_newton,INSECTS incremental_imbalanced,5,nonuniform,0.05,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9467018551373545,0.25819451195128235
1,12346,OSNN_none_baseline_newton,INSECTS incremental_imbalanced,5,uniform,0.1,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9571588480716393,0.2502261532028462
1,12346,OSNN_none_baseline_newton,INSECTS incremental_imbalanced,5,nonuniform,0.1,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9535175934979493,0.25179787285458377
1,12346,OSNN_none_baseline_newton,INSECTS incremental_imbalanced,5,uniform,0.2,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9646249684763805,0.20182228142198297
1,12346,OSNN_none_baseline_newton,INSECTS incremental_imbalanced,5,nonuniform,0.2,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9604063339247239,0.25518233971114823
1,12346,OSNN_none_baseline_newton,INSECTS incremental_imbalanced,5,uniform,0.5,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9672397697559076,0.1409757819676218
1,12346,OSNN_none_baseline_newton,INSECTS incremental_imbalanced,5,nonuniform,0.5,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9610058357409267,0.35162773759197885
1,12346,OSNN_none_baseline_newton,INSECTS incremental_imbalanced,5,uniform,1.0,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9636228492042774,0.39732665092486025
1,12346,OSNN_none_baseline_newton,INSECTS incremental_imbalanced,5,nonuniform,1.0,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9636228492042774,0.39732665092486025
1,12346,OSNN_none_baseline_newton,INSECTS incremental-abrupt_imbalanced,5,uniform,0.05,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9479207684241729,0.24621331768046462
1,12346,OSNN_none_baseline_newton,INSECTS incremental-abrupt_imbalanced,5,nonuniform,0.05,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9464607271005792,0.25231047426188075
1,12346,OSNN_none_baseline_newton,INSECTS incremental-abrupt_imbalanced,5,uniform,0.1,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.956769503718681,0.251056904422953
1,12346,OSNN_none_baseline_newton,INSECTS incremental-abrupt_imbalanced,5,nonuniform,0.1,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9553891010127378,0.2571009314035327
1,12346,OSNN_none_baseline_newton,INSECTS incremental-abrupt_imbalanced,5,uniform,0.2,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.963204746461612,0.2530762466214773
1,12346,OSNN_none_baseline_newton,INSECTS incremental-abrupt_imbalanced,5,nonuniform,0.2,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9600767185350034,0.2747962932625416
1,12346,OSNN_none_baseline_newton,INSECTS incremental-abrupt_imbalanced,5,uniform,0.5,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9674543515867995,0.23708675258509118
1,12346,OSNN_none_baseline_newton,INSECTS incremental-abrupt_imbalanced,5,nonuniform,0.5,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.9617093101968401,0.34594150244054944
1,12346,OSNN_none_baseline_newton,INSECTS incremental-abrupt_imbalanced,5,uniform,1.0,60,25,0.0204731114609854,0.0011574154273749,0.744137583684386,1.13907197350023,0.964397113542547,0.3886593241735891
